Season,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mx,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,30,,43,0.81,2066,,,4.57,23.96,0.896,0.231,0.101,,19.48,7.91,7.53,,1.64,-0.75,-0.88,,,0.51,-0.3,-0.45,-0.78,-1.53,,-0.57,-0.82,-1.11,-2.16,-1.15,-2.14
2023,41,430.5,30.9,0.68,1906,536,0.78,,,,,,,,,,-0.59,-1.38,-1.54,-1.23,2.01,1.35,,,,,,,,,,-0.99,-1.16,-1.2
2023,11,471.5,35.3,0.89,2662,416,0.75,4.37,26.97,1.111,0.455,0.433,86.5,27.54,,10.92,-0.11,-0.28,-0.25,0.44,0.14,1.09,0.33,0.92,0.61,0.41,0.13,2.16,2.21,,0.66,1.02,1.73,1.82
2023,24,550,34.9,0.96,2929,398,0.69,,,,,,80.5,21.9,10,16.51,0.8,-0.38,0.18,1.04,-0.15,0.57,,,,,,0.84,0.27,0.45,3.58,-0.2,0.23,-0.19
2023,35,434,40,1.24,3052,328,0.43,3.01,26.38,0.987,0.408,0.49,86.6,23.23,9.47,9.55,-0.55,0.89,1.9,1.31,-1.24,-1.7,-0.89,0.68,0,0.16,0.42,2.19,0.72,0.13,-0.05,-0.03,1,-0.33
2023,25,,29.3,0.7,2269,442,,5.82,20.97,0.94,0.579,0.709,78.9,19.53,9.95,11.19,,-1.78,-1.42,-0.43,0.54,,1.64,-1.52,-0.23,1.07,1.51,0.48,-0.55,0.42,0.8,-0.25,-0.63,-0.01
2023,15,600.5,37.6,0.66,,512,0.84,3.72,25.83,1.309,0.747,0.66,80.9,18.81,8.81,10.4,1.39,0.29,-1.67,,1.63,1.88,-0.25,0.46,1.59,1.96,1.27,0.93,-0.8,-0.27,0.39,1.19,2.1,1.08
2023,19,332,34.6,0.88,2024,436,0.69,3.64,27.18,1.003,0.338,0.565,72.3,19.36,8.49,12.99,-1.74,-0.46,-0.32,-0.97,0.45,0.57,-0.32,1.01,0.08,-0.21,0.79,-0.97,-0.61,-0.47,1.74,1.03,1.65,0.77
2023,33,517.5,38.1,0.89,2094,406,0.61,3.24,25.04,0.916,0.217,0.222,81.8,19.99,10.4,9.35,0.42,0.42,-0.25,-0.81,-0.02,-0.13,-0.68,0.14,-0.35,-0.85,-0.92,1.13,-0.39,0.7,-0.16,0.53,-0.02,-0.2
2023,1,416.5,37,1.2,3244,308,0.44,2.56,26.83,0.895,0.327,0.31,73,26.09,10.31,9.59,-0.75,0.14,1.65,1.73,-1.55,-1.61,-1.29,0.87,-0.45,-0.27,-0.48,-0.82,1.71,0.64,-0.03,-0.99,-1.29,-1.68
2023,29,,,0.91,1816,450,0.67,4.59,24.93,0.807,0.063,,82.2,19.34,6.33,8.69,,,-0.13,-1.43,0.67,0.39,0.53,0.09,-0.89,-1.67,,1.21,-0.61,-1.78,-0.5,-1.78,-1.17,-1.77
2023,28,,36.9,0.76,2307,486,0.7,4.7,23.86,0.804,0.362,0.28,,23,7.31,7.7,,0.12,-1.05,-0.34,1.23,0.66,0.63,-0.34,-0.9,-0.08,-0.63,,0.65,-1.19,-1.02,-2.67,-1.22,-1.63
2023,21,573.5,33.7,1.12,2784,302,0.44,1.98,26.54,1.372,0.778,0.588,72.5,23.68,12.33,13.45,1.08,-0.68,1.16,0.72,-1.64,-1.61,-1.81,0.75,1.9,2.13,0.91,-0.93,0.88,1.87,1.98,-0.72,-0.74,-0.15
2023,10,452,33.3,1.12,3049,334,0.46,3.27,28.42,1.248,0.675,0.391,79.5,26.18,12.65,10.62,-0.34,-0.78,1.16,1.3,-1.14,-1.44,-0.65,1.51,1.29,1.58,-0.08,0.62,1.74,2.07,0.51,-0.15,0.58,-0.26
2023,12,473.5,36.9,1.01,2262,382,0.59,3.39,26.01,1.063,0.278,0.181,77.5,20.45,8.06,8.2,-0.09,0.12,0.48,-0.44,-0.39,-0.3,-0.55,0.53,0.38,-0.53,-1.13,0.17,-0.23,-0.73,-0.76,-0.85,-1.52,-1.66
2023,34,625.5,38.5,0.95,2735,388,0.59,3.12,27.08,1.02,0.342,0.213,74.1,18.4,11.57,8.46,1.68,0.52,0.11,0.61,-0.3,-0.3,-0.79,0.97,0.16,-0.19,-0.97,-0.58,-0.94,1.41,-0.62,-1.07,-1.64,-1.56
2023,7,535.5,,0.86,2266,392,0.63,4.52,25.84,1.246,0.3,0.136,82.1,21.21,8.88,10.44,0.63,,-0.44,-0.43,-0.24,0.04,0.47,0.46,1.28,-0.41,-1.35,1.19,0.03,-0.23,0.41,-0.33,0.51,0.23
2023,42,610.5,39,1.03,2109,368,0.58,,,,,,,,,,1.51,0.64,0.61,-0.78,-0.61,-0.39,,,,,,,,,,0.57,1.14,-0.06
2023,37,471.5,35.2,1.15,3271,328,0.44,2.14,25.85,0.986,0.321,0.381,71.8,17.14,6.88,8.56,-0.11,-0.31,1.34,1.79,-1.24,-1.61,-1.67,0.47,0,-0.3,-0.13,-1.09,-1.37,-1.45,-0.57,-1.3,-0.69,-1.18
2023,32,443.5,39.6,0.92,2947,412,0.59,4.1,24.43,0.828,0.415,0.103,81.7,17.36,8.07,7.09,-0.44,0.79,-0.07,1.08,0.07,-0.3,0.09,-0.11,-0.78,0.2,-1.52,1.1,-1.3,-0.72,-1.33,-1.06,-1.22,-1.39
2023,9,547,36.1,0.95,2691,390,0.58,3.82,27.58,0.795,0.337,0.589,69.4,23.39,10,,0.77,-0.08,0.11,0.51,-0.27,-0.39,-0.16,1.17,-0.94,-0.22,0.91,-1.62,0.78,0.45,,0.76,1.81,1.07
2023,18,516,37,0.99,2720,396,0.58,4.92,24.34,0.958,0.422,0.366,,,,,0.41,0.14,0.36,0.57,-0.18,-0.39,0.83,-0.15,-0.14,0.24,-0.2,,,,,0.44,1.58,1.41
2023,36,,37.7,1.05,2395,,0.49,2.15,27.91,1.239,0.591,0.123,76.4,21.55,12.51,11.25,,0.32,0.73,-0.15,,-1.18,-1.66,1.31,1.24,1.13,-1.42,-0.07,0.15,1.98,0.84,-0.35,-0.1,-0.34
2023,38,509,41.2,,2831,334,0.55,,,,,,,,,,0.32,1.19,,0.82,-1.14,-0.65,,,,,,,,,,-1.19,-0.81,-1.16
2023,22,452,29.5,0.8,2109,456,0.68,3.39,26.6,0.912,0.285,0.143,79.2,22.31,8.59,9.87,-0.34,-1.73,-0.81,-0.78,0.76,0.48,-0.55,0.77,-0.37,-0.49,-1.32,0.55,0.41,-0.41,0.12,-1.46,-0.87,-0.83
2023,17,391.5,45.5,1.07,2723,410,0.6,4.5,24.52,0.713,0.621,0.757,86,19.88,10.76,15.85,-1.04,2.26,0.85,0.58,0.04,-0.22,0.45,-0.07,-1.35,1.29,1.75,2.05,-0.43,0.92,3.24,-1.6,-0.84,-1.73
2023,5,479.5,37.4,0.88,2305,418,0.63,3.85,27.8,1.059,0.243,0.377,76.3,24.43,7.6,10.35,-0.02,0.24,-0.32,-0.35,0.17,0.04,-0.13,1.26,0.36,-0.72,-0.15,-0.09,1.14,-1.01,0.37,1.2,2.35,0.63
2023,40,233.5,,,,,,,,,,,,,,,-2.88,,,,,,,,,,,,,,,-1.13,-1.2,-1.39
2023,16,544.5,40,1.25,3382,306,0.44,3.26,27.3,1.197,0.31,0.278,79.2,24.97,10.26,10.2,0.74,0.89,1.96,2.04,-1.58,-1.61,-0.66,1.06,1.04,-0.36,-0.64,0.55,1.32,0.61,0.29,-0.43,0.08,-0.39
2023,27,,41.8,0.82,2432,484,0.73,5.08,22.89,1.13,0.478,0.444,72.1,20.44,9.01,9.24,,1.34,-0.68,-0.07,1.2,0.92,0.97,-0.74,0.71,0.53,0.19,-1.02,-0.24,-0.15,-0.21,-2.29,-1.09,-1.82
2023,13,421,36.9,0.69,1673,514,0.81,3.26,28.12,0.892,0.171,0.266,78.4,19.02,8.33,8.83,-0.7,0.12,-1.48,-1.75,1.66,1.62,-0.66,1.39,-0.47,-1.1,-0.7,0.37,-0.72,-0.56,-0.43,-0.02,0.65,-0.29
2023,23,638.5,40.1,0.8,2729,472,0.7,4.77,23.47,0.603,0.191,0.611,83.8,16.28,6.7,9.36,1.83,0.92,-0.81,0.59,1.01,0.66,0.69,-0.5,-1.89,-0.99,1.02,1.57,-1.67,-1.56,-0.15,-0.88,-0.07,-0.43
2023,14,488,40.9,0.95,2266,418,0.62,2.68,28.09,0.76,0.379,0.31,83.9,17.98,9.78,10.74,0.08,1.12,0.11,-0.43,0.17,-0.04,-1.19,1.38,-1.12,0.01,-0.48,1.59,-1.08,0.32,0.57,-0.59,0.81,0
2023,8,554,35,0.88,1997,432,0.62,3.9,26.82,1.055,0.606,0.712,77.5,30.12,13.69,12.01,0.85,-0.36,-0.32,-1.03,0.39,-0.04,-0.09,0.86,0.34,1.21,1.53,0.17,3.1,2.7,1.23,0.09,0.61,0.5
2023,31,605.5,45.6,0.69,2180,,0.88,4.36,24.83,0.873,0.379,0.355,81.4,22.86,10.62,7.08,1.45,2.29,-1.48,-0.62,,2.23,0.32,0.05,-0.56,0.01,-0.26,1.04,0.6,0.83,-1.34,-2.63,-1.3,-1.96
2023,2,468.5,33.2,0.84,2078,414,0.61,4.28,24.95,1.084,0.407,0.569,78.9,23.26,9.4,10.59,-0.15,-0.8,-0.56,-0.85,0.1,-0.13,0.25,0.1,0.48,0.16,0.81,0.48,0.74,0.09,0.49,0.22,1.43,-0.53
2023,26,353,40.1,0.69,1972,588,0.87,5.2,23.17,0.719,0.417,0.471,87,17.15,6.65,7.61,-1.49,0.92,-1.48,-1.08,2.82,2.14,1.08,-0.62,-1.32,0.21,0.32,2.27,-1.37,-1.59,-1.06,-0.56,-0.77,-0.49
2023,30,434.5,,,,,,,,,,,,,,,-0.54,,,,,,,,,,,,,,,-1.01,-0.46,-1.82
2023,31,589,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,-1.27,-0.57,-1.15
2023,28,307,,,,,,,,,,,,,,,-2.03,,,,,,,,,,,,,,,-1.42,-0.53,-1.41
2023,40,267.5,,,,,,,,,,,,,,,-2.49,,,,,,,,,,,,,,,-0.73,-0.53,-1.23
2023,7,562.5,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,0.01,1.12,-0.33
2023,14,513,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,-0.48,0.71,-0.93
2023,27,474,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,,,-1,-0.58,-1.63
2023,17,489.5,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,-1.08,-0.35,-1.73
2023,5,485.5,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,1.24,2.09,-0.07
2023,20,554,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,0.32,0.18,-0.46
2023,30,415.5,,,,,,,,,,,,,,,-0.76,,,,,,,,,,,,,,,-0.02,0.59,-1.13
2023,4,513.5,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,0.92,1.91,0.05
2023,39,504.5,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,-0.77,-0.69,-1.56
2023,3,505,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,0.76,1.01,-0.2
2023,13,405,,,,,,,,,,,,,,,-0.89,,,,,,,,,,,,,,,0.87,1.3,-0.23
