ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
12,473.5,2.78,36.9,1.01,2262,382,0.59,3.39,26.01,1.063,0.278,0.181,77.5,20.45,8.06,8.2
34,625.5,2.85,38.5,0.95,2735,388,0.59,3.12,27.08,1.02,0.342,0.213,74.1,18.4,11.57,8.46
7,535.5,2.79,,0.86,2266,392,0.63,4.52,25.84,1.246,0.3,0.136,82.1,21.21,8.88,10.44
42,610.5,2.84,39,1.03,2109,368,0.58,,,,,,,,,
37,471.5,2.73,35.2,1.15,3271,328,0.44,2.14,25.85,0.986,0.321,0.381,71.8,17.14,6.88,8.56
32,443.5,2.9,39.6,0.92,2947,412,0.59,4.1,24.43,0.828,0.415,0.103,81.7,17.36,8.07,7.09
9,547,2.76,36.1,0.95,2691,390,0.58,3.82,27.58,0.795,0.337,0.589,69.4,23.39,10,
18,516,2.78,37,0.99,2720,396,0.58,4.92,24.34,0.958,0.422,0.366,,,,
36,,2.79,37.7,1.05,2395,,0.49,2.15,27.91,1.239,0.591,0.123,76.4,21.55,12.51,11.25
38,509,2.93,41.2,,2831,334,0.55,,,,,,,,,
22,452,2.52,29.5,0.8,2109,456,0.68,3.39,26.6,0.912,0.285,0.143,79.2,22.31,8.59,9.87
17,391.5,3.08,45.5,1.07,2723,410,0.6,4.5,24.52,0.713,0.621,0.757,86,19.88,10.76,15.85
5,479.5,2.83,37.4,0.88,2305,418,0.63,3.85,27.8,1.059,0.243,0.377,76.3,24.43,7.6,10.35
40,233.5,,,,,,,,,,,,,,,
16,544.5,2.9,40,1.25,3382,306,0.44,3.26,27.3,1.197,0.31,0.278,79.2,24.97,10.26,10.2
27,,2.96,41.8,0.82,2432,484,0.73,5.08,22.89,1.13,0.478,0.444,72.1,20.44,9.01,9.24
13,421,2.78,36.9,0.69,1673,514,0.81,3.26,28.12,0.892,0.171,0.266,78.4,19.02,8.33,8.83
23,638.5,2.9,40.1,0.8,2729,472,0.7,4.77,23.47,0.603,0.191,0.611,83.8,16.28,6.7,9.36
14,488,2.92,40.9,0.95,2266,418,0.62,2.68,28.09,0.76,0.379,0.31,83.9,17.98,9.78,10.74
8,554,2.71,35,0.88,1997,432,0.62,3.9,26.82,1.055,0.606,0.712,77.5,30.12,13.69,12.01
31,605.5,3.08,45.6,0.69,2180,,0.88,4.36,24.83,0.873,0.379,0.355,81.4,22.86,10.62,7.08
2,468.5,2.64,33.2,0.84,2078,414,0.61,4.28,24.95,1.084,0.407,0.569,78.9,23.26,9.4,10.59
26,353,2.89,40.1,0.69,1972,588,0.87,5.2,23.17,0.719,0.417,0.471,87,17.15,6.65,7.61
30,434.5,,,,,,,,,,,,,,,
31,589,,,,,,,,,,,,,,,
28,307,,,,,,,,,,,,,,,
40,267.5,,,,,,,,,,,,,,,
7,562.5,,,,,,,,,,,,,,,
14,513,,,,,,,,,,,,,,,
27,474,,,,,,,,,,,,,,,
17,489.5,,,,,,,,,,,,,,,
5,485.5,,,,,,,,,,,,,,,
20,554,,,,,,,,,,,,,,,
30,415.5,,,,,,,,,,,,,,,
4,513.5,,,,,,,,,,,,,,,
39,504.5,,,,,,,,,,,,,,,
3,505,,,,,,,,,,,,,,,
13,405,,,,,,,,,,,,,,,
12,397.5,,,,,,,,,,,,,,,
9,543.5,,,,,,,,,,,,,,,
38,505.5,,,,,,,,,,,,,,,
37,460,,,,,,,,,,,,,,,
35,425,,,,,,,,,,,,,,,
19,407.5,,,,,,,,,,,,,,,
16,515.5,,,,,,,,,,,,,,,
18,525.5,,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,,
40,293,,,,,,,,,,,,,,,
31,576,,,,,,,,,,,,,,,
29,394,,,,,,,,,,,,,,,
26,391.5,,,,,,,,,,,,,,,
27,481.5,,,,,,,,,,,,,,,
14,501.5,,,,,,,,,,,,,,,
28,451.5,,,,,,,,,,,,,,,
17,380,,,,,,,,,,,,,,,
42,609.5,,,,,,,,,,,,,,,
15,556.5,,,,,,,,,,,,,,,
22,475,,,,,,,,,,,,,,,
34,636,,,,,,,,,,,,,,,
41,429,,,,,,,,,,,,,,,
1,403,,,,,,,,,,,,,,,
24,489.5,,,,,,,,,,,,,,,
23,652.5,,,,,,,,,,,,,,,
8,503.5,,,,,,,,,,,,,,,
33,449.5,,,,,,,,,,,,,,,
11,503,,,,,,,,,,,,,,,
10,427,,,,,,,,,,,,,,,
25,338.5,,,,,,,,,,,,,,,
32,434,,,,,,,,,,,,,,,
30,424.5,,,,,,,,,,,,,,,
43,562.5,2.43,26.7,0.78,2269,446,0.62,,,,,,,,,
30,448,,,1.27,2249,,0.56,5.11,23.69,0.977,0.385,0.243,82.9,19.98,9.02,7.23
20,592,2.82,38,1.17,2962,350,0.5,4.43,23.84,0.813,0.055,,83.1,17.22,7.6,10.03
3,451,2.8,37,0.98,2454,372,0.55,3.08,26.83,1.379,0.753,0.807,77.7,20.46,9.6,11.27
39,449,2.76,36.3,0.98,2574,366,0.56,,,,,,,,,
4,516.5,2.73,35.8,0.97,2186,368,0.58,4.01,27.26,1.329,0.661,0.505,77.7,19.23,8.4,8.88
42,575,,,,,,,,,,,,,,,
25,245,2.51,28.2,0.64,2328,506,0.77,6.05,20.98,0.927,0.598,0.84,78.9,20.03,9.67,12.23
15,597.5,2.8,37,0.62,2632,536,0.9,4.29,25.39,1.523,0.777,0.703,80.4,18.53,10.01,10.33
27,462.5,2.93,40.7,0.74,2324,546,0.84,4.34,24.06,1.289,0.603,0.602,68.7,21.02,9.42,10.61
28,395,2.78,36.9,0.81,2427,442,0.66,2.56,26.21,,0.66,0.303,69.9,24.47,8.85,9.44
11,455.5,2.77,35.8,0.72,2344,506,0.74,4.72,25.88,1.08,0.442,0.304,83.9,24.8,,9.14
1,410.5,2.8,37.3,1.22,3438,314,0.46,3.03,27.11,0.693,0.241,0.363,70.4,25.27,10.49,11.19
29,,3.14,48,0.75,1687,,0.85,4.85,24.32,0.844,0.124,0.145,76,20.7,7.19,8.98
14,478.5,3.05,44.8,0.91,2263,452,0.71,2.51,29.12,0.898,0.432,0.161,82.3,17.7,10.96,11.35
31,587.5,3.08,45.4,0.72,2193,,0.82,3.07,25.4,1.024,0.379,0.193,78.4,20.92,10.79,7.7
23,650,2.95,41.5,0.81,3191,484,0.73,3.68,23.85,0.489,0.101,0.616,82.7,15.6,6.95,
8,454.5,2.71,34.7,0.86,1740,408,0.64,,,,,,,,,
5,503,2.84,38.2,0.83,2255,452,0.68,3.58,28.76,0.993,0.202,0.329,76.8,22.52,8.09,9.31
10,447,2.64,32.6,1.18,3247,320,0.45,3.21,27.72,1.333,0.754,0.66,78.5,25.54,12.98,11.7
9,565.5,2.79,37.4,0.89,2659,430,0.63,3.95,27.16,0.777,0.418,0.515,72,21.65,8.67,10.71
33,458.5,2.74,35.6,0.89,1951,426,0.63,2.29,24.08,1.031,0.343,0.392,,22.93,11.06,11.57
35,446,2.9,41.1,1.28,2885,304,0.42,2.91,28.77,0.921,0.366,0.324,83.2,25.22,11.17,10.82
40,294.5,2.85,38.5,0.81,2021,466,0.77,,,,,,,,,
22,470.5,2.48,28.8,0.8,2181,446,0.66,2.57,27.31,0.896,0.173,0.267,78.6,23.2,9.69,12.39
16,523.5,2.88,39.2,1.14,3423,330,0.54,2.98,27.96,1.301,0.569,0.45,77.7,22.82,8.81,9.42
21,564,2.73,35.5,1.05,2577,340,0.53,1.96,26.2,1.17,0.654,0.559,67.9,24.27,9.33,14.42
12,449,2.81,37.5,0.87,2041,434,0.71,4.04,25.91,1.028,0.185,,76.5,20.19,8.25,8.31
24,511.5,2.73,35.8,0.91,2675,418,0.61,2.13,25.29,0.768,0.202,0.349,78.4,20.24,8.29,14.27
37,402.5,2.66,33.8,1.14,3016,310,0.52,2.91,25.17,0.867,0.29,0.451,69.8,17.41,6.94,10.17
32,444.5,2.89,40.3,0.9,3052,418,0.58,3.99,24.08,0.864,0.351,0.264,82.8,17.63,7.71,7.88
17,436.5,3.01,43.6,1.01,2699,422,0.58,2.57,27.93,0.675,0.461,0.535,83.5,22.61,11.93,13.62
36,,2.84,38.1,1.2,2609,294,0.44,2.2,28.72,1.234,0.591,0.192,75.9,20.89,12.67,10.3
34,632,2.93,40.6,0.94,2611,412,0.62,3.52,27.38,0.912,0.283,0.111,,19.66,10.35,9.63
13,423,2.75,35.8,0.66,1640,522,0.83,2.2,28.02,1.099,0.489,0.562,74,19.79,9.4,9.48
38,504.5,2.86,38.9,0.96,2432,380,,4.18,23.82,1.181,0.528,0.414,,19.43,8.75,8.2
41,427,2.61,30,0.7,1856,474,0.79,,,,,,,,,
26,361.5,2.9,40,0.82,2097,496,0.89,4.84,23.71,0.897,0.362,0.476,66.5,18.32,6.62,7.92
19,385,2.76,36.2,0.9,2147,448,0.67,4.35,23.98,0.999,0.336,0.549,74.4,19.93,8.48,12.09
2,,2.75,36.4,0.98,2252,366,0.57,4.58,23.55,1.098,0.439,0.688,74.7,22.92,9.15,10.28
30,418.5,,,,,,,,,,,,,,,
29,306,,,,,,,,,,,,,,,
31,542,,,,,,,,,,,,,,,
27,448.5,,,,,,,,,,,,,,,
8,490.5,,,,,,,,,,,,,,,
5,484,,,,,,,,,,,,,,,
14,491,,,,,,,,,,,,,,,
20,524.5,,,,,,,,,,,,,,,
43,536,,,,,,,,,,,,,,,
39,470,,,,,,,,,,,,,,,
3,509,,,,,,,,,,,,,,,
4,541.5,,,,,,,,,,,,,,,
29,410,,,,,,,,,,,,,,,
7,532,,,,,,,,,,,,,,,
28,380.5,,,,,,,,,,,,,,,
24,463,,,,,,,,,,,,,,,
41,435,,,,,,,,,,,,,,,
38,514.5,,,,,,,,,,,,,,,
19,408,,,,,,,,,,,,,,,
27,510,,,,,,,,,,,,,,,
1,398,,,,,,,,,,,,,,,
10,461,,,,,,,,,,,,,,,
14,534.5,,,,,,,,,,,,,,,
11,499,,,,,,,,,,,,,,,
34,636.5,,,,,,,,,,,,,,,
8,541,,,,,,,,,,,,,,,
23,608,,,,,,,,,,,,,,,
21,565.5,,,,,,,,,,,,,,,
13,446,,,,,,,,,,,,,,,
35,443.5,,,,,,,,,,,,,,,
9,532,,,,,,,,,,,,,,,
12,433.5,,,,,,,,,,,,,,,
32,438,,,,,,,,,,,,,,,
16,538.5,,,,,,,,,,,,,,,
2,454,,,,,,,,,,,,,,,
22,478.5,,,,,,,,,,,,,,,
40,251.5,,,,,,,,,,,,,,,
15,526.5,,,,,,,,,,,,,,,
37,460.5,,,,,,,,,,,,,,,
18,513.5,,,,,,,,,,,,,,,
25,369,,,,,,,,,,,,,,,
31,552,,,,,,,,,,,,,,,
5,516,,,,,,,,,,,,,,,
17,334.5,,,,,,,,,,,,,,,
30,427.5,,,,,,,,,,,,,,,
4,480,2.83,38.4,1.01,2243,368,0.6,,,,,,,,,
39,449.5,2.75,35.4,0.94,3101,376,0.58,,,,,,,,,
20,556,,,,,,,,,,,,,,,
30,440.5,2.86,39.5,0.83,2094,444,,,,,,,,,,
43,554.5,,,,,,,,,,,,,,,
3,468,2.75,35.3,0.94,2338,396,0.56,,,,,,,,,
24,442,2.71,35.6,0.95,2887,410,0.59,,,,,,,,,
27,498.5,2.9,39.5,0.75,2346,508,0.74,,,,,,,,,
18,542,,,,,,,,,,,,,,,
31,484,2.96,41.7,0.78,2378,506,0.76,,,,,,,,,
11,,2.77,36.4,0.86,2577,436,0.63,,,,,,,,,
14,532,2.97,42.3,1.02,2401,418,0.61,,,,,,,,,
23,621,2.94,41.3,0.84,2977,440,0.66,,,,,,,,,
29,399.5,3.01,44,0.96,1958,436,0.81,,,,,,,,,
40,276,2.88,37.2,0.79,1783,446,0.65,,,,,,,,,
9,559.5,2.86,39.3,0.96,2786,398,0.62,,,,,,,,,
7,523,2.63,32.7,0.85,1956,420,0.63,,,,,,,,,
5,518,2.85,38.4,0.86,2330,462,0.69,,,,,,,,,
2,523,2.74,36,0.98,2279,376,0.6,,,,,,,,,
8,575.5,2.88,39.6,0.86,1656,454,0.67,,,,,,,,,
21,,2.8,37.2,1.13,,328,0.6,,,,,,,,,
34,661.5,,,,,,,,,,,,,,,
32,422,,,,,,,,,,,,,,,
10,365,2.75,35.6,1.19,3408,322,0.47,,,,,,,,,
42,607,2.83,38.1,1.02,2135,360,0.6,,,,,,,,,
25,366.5,2.6,31.9,0.78,2426,436,0.65,,,,,,,,,
22,472.5,2.53,29.9,0.84,2150,432,,,,,,,,,,
1,397.5,2.78,36.3,1.34,,268,0.45,,,,,,,,,
28,326,2.77,36.7,0.78,2268,474,0.73,,,,,,,,,
6,612.5,3,43,1.1,2854,364,0.57,,,,,,,,,
15,514,2.84,38.3,0.64,2575,528,1.04,,,,,,,,,
17,442,3.01,43.4,1.16,2929,372,0.59,,,,,,,,,
41,437,2.57,30.7,0.78,1982,448,0.69,,,,,,,,,
35,430.5,2.95,42.1,1.33,3082,306,0.45,,,,,,,,,
36,,2.87,39.5,1.3,2779,284,0.43,,,,,,,,,
38,545,2.93,40.5,1.03,2769,364,0.54,,,,,,,,,
12,433,,,,,,,,,,,,,,,
33,361,,,,,,,,,,,,,,,
13,425,2.8,37.5,0.69,1700,536,0.91,,,,,,,,,
37,447.5,,,,,,,,,,,,,,,
19,313.5,2.64,32.6,0.86,1866,420,0.64,,,,,,,,,
24,489,,,,,,,,,,,,,,,
15,477,,,,,,,,,,,,,,,
35,430.5,,,,,,,,,,,,,,,
10,364,,,,,,,,,,,,,,,
28,331.5,,,,,,,,,,,,,,,
