Season,Week,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mn,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,2,18,555,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,0.36,1.12,0.82
2023,2,23,602.5,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,-0.87,0.62,0.69
2023,2,16,516,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,-0.14,1,0.3
2023,2,42,589.5,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,0.35,0.42,-0.7
2023,2,40,231.5,,,,,,,,,,,,,,,-2.91,,,,,,,,,,,,,,,-1.93,-1.35,-1.39
2023,2,8,461.5,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,0.35,0.73,0.23
2023,3,20,563,36.48,1.01,3176.5,0.418,0.506,3.82,27.22,0.653,,0.112,83.6,18.88,7.16,8.05,0.95,0.01,0.51,1.62,0.17,-0.55,-0.16,1.02,-1.46,,-1.37,1.52,-0.77,-1.28,-0.83,-0.8,-1.1,-0.71
2023,3,3,467,37.81,0.94,2400.5,0.396,0.548,4.19,25.28,1.344,0.78,0.73,79.7,19.83,10.65,10.59,-0.16,0.34,0.07,-0.13,-0.17,-0.12,0.17,0.23,1.98,2.36,1.79,0.66,-0.45,0.85,0.49,0.89,2.02,0.44
2023,3,39,434,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,-1.83,-1.5,-1.56
2023,3,4,511.5,33.79,0.91,2275.4,0.394,0.564,3.53,27.5,1.186,0.439,0.333,79.7,17.88,8.2,7.5,0.35,-0.66,-0.11,-0.41,-0.2,0.04,-0.42,1.14,1.19,0.51,-0.24,0.66,-1.12,-0.64,-1.12,1.08,2.04,0.05
2023,3,30,,42.97,,2065.5,,,4.57,23.96,0.836,0.161,0.041,,19.48,7.91,7.53,,1.63,,-0.89,,,0.51,-0.3,-0.55,-1,-1.73,,-0.57,-0.82,-1.11,-2.16,-1.15,-2.14
2023,3,41,430.5,30.94,0.68,1906.4,0.536,0.742,,,,,,,,,,-0.59,-1.38,-1.54,-1.25,2.02,1.82,,,,,,,,,,-0.99,-1.16,-1.2
2023,3,11,471.5,35.27,0.89,2661.5,0.416,0.58,4.37,26.97,1.051,0.385,0.373,86.5,27.54,,10.92,-0.11,-0.3,-0.24,0.46,0.14,0.2,0.33,0.92,0.52,0.21,-0.03,2.16,2.21,,0.66,1.02,1.73,1.82
2023,3,24,550,34.87,0.96,2928.5,0.398,0.52,,,,,,80.5,21.9,10,16.51,0.8,-0.39,0.2,1.06,-0.14,-0.41,,,,,,0.84,0.27,0.45,3.58,-0.2,0.23,-0.19
2023,3,35,434,40.02,1.24,3051.5,0.328,0.426,3.01,26.38,0.927,0.338,0.43,86.6,23.23,9.47,9.55,-0.55,0.89,1.94,1.34,-1.24,-1.35,-0.89,0.68,-0.1,-0.04,0.26,2.19,0.72,0.13,-0.05,-0.03,1,-0.33
2023,3,25,,29.27,0.7,2269.4,0.442,0.638,5.82,20.97,0.88,0.509,0.649,78.9,19.53,9.95,11.19,,-1.79,-1.42,-0.43,0.55,0.78,1.64,-1.52,-0.33,0.89,1.37,0.48,-0.55,0.42,0.8,-0.25,-0.63,-0.01
2023,3,15,600.5,37.56,0.66,2837.4,0.512,0.81,3.72,25.83,1.249,0.677,0.6,80.9,18.81,8.81,10.4,1.39,0.28,-1.67,0.86,1.65,2.5,-0.25,0.46,1.5,1.8,1.12,0.93,-0.8,-0.27,0.39,1.19,2.1,1.08
2023,3,19,332,34.64,0.88,2023.5,0.436,0.578,3.64,27.18,0.943,0.268,0.505,72.3,19.36,8.49,12.99,-1.74,-0.45,-0.3,-0.98,0.46,0.18,-0.32,1.01,-0.02,-0.42,0.64,-0.97,-0.61,-0.47,1.74,1.03,1.65,0.77
2023,3,33,517.5,38.1,0.89,2094.4,0.406,0.568,3.24,25.04,0.856,0.147,0.162,81.8,19.99,10.4,9.35,0.42,0.41,-0.24,-0.82,-0.01,0.08,-0.68,0.14,-0.45,-1.08,-1.11,1.13,-0.39,0.7,-0.16,0.53,-0.02,-0.2
2023,3,1,416.5,37.04,1.2,3244.4,0.308,0.404,2.56,26.83,0.835,0.257,0.25,73,26.09,10.31,9.59,-0.75,0.15,1.69,1.78,-1.55,-1.57,-1.29,0.87,-0.55,-0.48,-0.66,-0.82,1.71,0.64,-0.03,-0.99,-1.29,-1.68
2023,3,29,,,0.91,1815.5,0.45,0.586,4.59,24.93,0.747,,,82.2,19.34,6.33,8.69,,,-0.11,-1.45,0.68,0.26,0.53,0.09,-0.99,,,1.21,-0.61,-1.78,-0.5,-1.78,-1.17,-1.77
2023,3,28,,36.86,0.76,2306.5,0.486,0.678,4.7,23.86,0.744,0.292,0.22,,23,7.31,7.7,,0.1,-1.05,-0.34,1.24,1.18,0.63,-0.34,-1.01,-0.29,-0.82,,0.65,-1.19,-1.02,-2.67,-1.22,-1.63
2023,3,21,573.5,33.74,1.12,2783.5,0.302,0.41,1.98,26.54,1.312,0.708,0.528,72.5,23.68,12.33,13.45,1.08,-0.68,1.19,0.73,-1.65,-1.51,-1.81,0.75,1.82,1.97,0.76,-0.93,0.88,1.87,1.98,-0.72,-0.74,-0.15
2023,3,10,452,33.31,1.12,3049.4,0.334,0.44,3.27,28.42,1.188,0.605,0.331,79.5,26.18,12.65,10.62,-0.34,-0.78,1.19,1.34,-1.14,-1.21,-0.65,1.51,1.2,1.41,-0.25,0.62,1.74,2.07,0.51,-0.15,0.58,-0.26
2023,3,12,473.5,36.89,1.01,2262.4,0.382,0.522,3.39,26.01,1.003,0.208,0.121,77.5,20.45,8.06,8.2,-0.09,0.11,0.51,-0.44,-0.39,-0.39,-0.55,0.53,0.28,-0.75,-1.32,0.17,-0.23,-0.73,-0.76,-0.85,-1.52,-1.66
2023,3,34,625.5,38.53,0.95,2735.4,0.388,0.526,3.12,27.08,0.96,0.272,0.153,74.1,18.4,11.57,8.46,1.68,0.52,0.14,0.63,-0.3,-0.35,-0.79,0.97,0.07,-0.4,-1.16,-0.58,-0.94,1.41,-0.62,-1.07,-1.64,-1.56
2023,3,7,535.5,36.69,0.86,2265.5,0.392,0.592,4.52,25.84,1.186,0.23,0.076,82.1,21.21,8.88,10.44,0.63,0.06,-0.42,-0.44,-0.23,0.32,0.47,0.46,1.19,-0.63,-1.55,1.19,0.03,-0.23,0.41,-0.33,0.51,0.23
2023,3,42,610.5,39.05,1.03,2109.4,0.368,0.526,,,,,,,,,,1.51,0.65,0.63,-0.79,-0.61,-0.35,,,,,,,,,,0.57,1.14,-0.06
2023,3,37,471.5,35.25,1.15,3271.4,0.328,0.426,2.14,25.85,0.926,0.251,0.321,71.8,17.14,6.88,8.56,-0.11,-0.3,1.38,1.84,-1.24,-1.35,-1.67,0.47,-0.1,-0.51,-0.3,-1.09,-1.37,-1.45,-0.57,-1.3,-0.69,-1.18
2023,3,32,443.5,39.65,0.92,2946.5,0.412,0.562,4.1,24.43,0.768,0.345,0.043,81.7,17.36,8.07,7.09,-0.44,0.8,-0.05,1.1,0.08,0.02,0.09,-0.11,-0.89,0,-1.72,1.1,-1.3,-0.72,-1.33,-1.06,-1.22,-1.39
2023,3,9,547,36.09,0.95,2691.4,0.39,0.526,3.82,27.58,0.735,0.267,0.529,69.4,23.39,10,,0.77,-0.09,0.14,0.53,-0.27,-0.35,-0.16,1.17,-1.05,-0.43,0.76,-1.62,0.78,0.45,,0.76,1.81,1.07
2023,3,18,516,36.96,0.99,2720.4,0.396,0.528,4.92,24.34,0.898,0.352,0.306,,,,,0.41,0.13,0.38,0.59,-0.17,-0.33,0.83,-0.15,-0.24,0.04,-0.38,,,,,0.44,1.58,1.41
2023,3,36,,37.68,1.05,2395.4,,,2.15,27.91,1.169,0.521,0.063,76.4,21.55,12.51,11.25,,0.31,0.76,-0.14,,,-1.66,1.31,1.11,0.95,-1.62,-0.07,0.15,1.98,0.84,-0.35,-0.1,-0.34
2023,3,38,509,41.23,1.1,2830.8,0.334,0.48,,,,,,,,,,0.32,1.19,1.07,0.84,-1.14,-0.81,,,,,,,,,,-1.19,-0.81,-1.16
2023,3,22,452,29.55,0.8,2108.5,0.456,0.64,3.39,26.6,0.852,0.215,0.083,79.2,22.31,8.59,9.87,-0.34,-1.72,-0.8,-0.79,0.77,0.8,-0.55,0.77,-0.47,-0.71,-1.52,0.55,0.41,-0.41,0.12,-1.46,-0.87,-0.83
2023,3,17,391.5,45.53,1.07,2722.5,0.41,0.552,4.5,24.52,0.653,0.551,0.697,86,19.88,10.76,15.85,-1.04,2.27,0.88,0.6,0.05,-0.08,0.45,-0.07,-1.46,1.12,1.62,2.05,-0.43,0.92,3.24,-1.6,-0.84,-1.73
2023,3,5,479.5,37.42,0.88,2305.4,0.418,0.584,3.85,27.8,0.999,0.173,0.317,76.3,24.43,7.6,10.35,-0.02,0.24,-0.3,-0.35,0.17,0.24,-0.13,1.26,0.26,-0.94,-0.32,-0.09,1.14,-1.01,0.37,1.2,2.35,0.63
2023,3,40,233.5,,,,,,,,,,,,,,,-2.88,,,,,,,,,,,,,,,-1.13,-1.2,-1.39
2023,3,16,544.5,39.98,1.25,3382.4,0.306,0.398,3.26,27.3,1.137,0.24,0.218,79.2,24.97,10.26,10.2,0.74,0.88,2,2.09,-1.58,-1.63,-0.66,1.06,0.95,-0.57,-0.83,0.55,1.32,0.61,0.29,-0.43,0.08,-0.39
