ID,rn,vel_m.s,Acceleration,acc.up
#ID33,4.2,5.433333333,0.139,2.36
#ID33,4.21,,,2.22
#ID33,4.22,,,2.05
#ID33,4.23,,,1.85
#ID33,4.24,,,1.6
#ID33,4.25,,,1.31
#ID33,4.26,,,1.01
#ID33,4.27,,,0.71
#ID33,4.28,,,0.46
#ID33,4.29,,,0.27
#ID33,4.3,5.458333333,0.145,0.17
#ID33,4.31,,,0.15
#ID33,4.32,,,0.21
#ID33,4.33,,,0.3
#ID33,4.34,,,0.4
#ID33,4.35,,,0.46
#ID33,4.36,,,0.45
#ID33,4.37,,,0.37
#ID33,4.38,,,0.22
#ID33,4.39,,,0.03
#ID33,4.4,5.477777778,0.156,-0.15
#ID33,4.41,,,-0.28
#ID33,4.42,,,-0.31
#ID33,4.43,,,-0.21
#ID33,4.44,,,0.03
#ID33,4.45,,,0.39
#ID33,4.46,,,0.83
#ID33,4.47,,,1.29
#ID33,4.48,,,1.69
#ID33,4.49,,,1.98
#ID33,4.5,5.486111111,0.164,2.15
#ID33,4.51,,,2.23
#ID33,4.52,,,2.25
#ID33,4.53,,,2.25
#ID33,4.54,,,2.23
#ID33,4.55,,,2.17
#ID33,4.56,,,2.04
#ID33,4.57,,,1.83
#ID33,4.58,,,1.55
#ID33,4.59,,,1.23
#ID33,4.6,5.488888889,0.164,0.9
#ID33,4.61,,,0.62
#ID33,4.62,,,0.42
#ID33,4.63,,,0.32
#ID33,4.64,,,0.32
#ID33,4.65,,,0.37
#ID33,4.66,,,0.44
#ID33,4.67,,,0.48
#ID33,4.68,,,0.44
#ID33,4.69,,,0.33
#ID33,4.7,5.486111111,0.153,0.14
#ID33,4.71,,,-0.09
#ID33,4.72,,,-0.3
#ID33,4.73,,,-0.45
#ID33,4.74,,,-0.49
#ID33,4.75,,,-0.38
#ID33,4.76,,,-0.13
#ID33,4.77,,,0.26
#ID33,4.78,,,0.73
#ID33,4.79,,,1.22
#ID33,4.8,5.480555556,0.132,1.64
#ID33,4.81,,,1.95
#ID33,4.82,,,2.13
#ID33,4.83,,,2.21
#ID33,4.84,,,2.22
#ID33,4.85,,,2.22
#ID33,4.86,,,2.22
#ID33,4.87,,,2.2
#ID33,4.88,,,2.12
#ID33,4.89,,,1.96
#ID33,4.9,5.483333333,0.106,1.7
#ID33,4.91,,,1.37
#ID33,4.92,,,1
#ID33,4.93,,,0.64
#ID33,4.94,,,0.35
#ID33,4.95,,,0.18
#ID33,4.96,,,0.12
#ID33,4.97,,,0.17
#ID33,4.98,,,0.28
#ID33,4.99,,,0.42
#ID33,5,5.488888889,0.082,0.52
#ID33,5.01,,,0.54
#ID33,5.02,,,0.47
#ID33,5.03,,,0.32
#ID33,5.04,,,0.12
#ID33,5.05,,,-0.09
#ID33,5.06,,,-0.23
#ID33,5.07,,,-0.26
#ID33,5.08,,,-0.15
#ID33,5.09,,,0.12
#ID33,5.1,5.486111111,0.063,0.52
#ID33,5.11,,,0.98
#ID33,5.12,,,1.42
#ID33,5.13,,,1.78
#ID33,5.14,,,2.02
#ID33,5.15,,,2.15
#ID33,5.16,,,2.18
#ID33,5.17,,,2.18
#ID33,5.18,,,2.15
#ID33,5.19,,,2.09
#ID33,5.2,5.486111111,0.046,2
#ID33,5.21,,,1.86
#ID33,5.22,,,1.66
#ID33,5.23,,,1.41
#ID33,5.24,,,1.13
#ID33,5.25,,,0.85
#ID33,5.26,,,0.61
#ID33,5.27,,,0.44
#ID33,5.28,,,0.35
#ID33,5.29,,,0.36
#ID33,5.3,5.488888889,0.031,0.45
#ID33,5.31,,,0.59
#ID33,5.32,,,0.72
#ID33,5.33,,,0.78
#ID33,5.34,,,0.73
#ID33,5.35,,,0.56
#ID33,5.36,,,0.28
#ID33,5.37,,,-0.06
#ID33,5.38,,,-0.38
#ID33,5.39,,,-0.58
#ID33,5.4,5.491666667,0.02,-0.62
#ID33,5.41,,,-0.45
#ID33,5.42,,,-0.07
#ID33,5.43,,,0.47
#ID33,5.44,,,1.07
#ID33,5.45,,,1.63
#ID33,5.46,,,2.05
#ID33,5.47,,,2.3
#ID33,5.48,,,2.37
#ID33,5.49,,,2.34
#ID33,5.5,5.5,0.015,2.26
#ID33,5.51,,,2.19
#ID33,5.52,,,2.13
#ID33,5.53,,,2.05
#ID33,5.54,,,1.92
#ID33,5.55,,,1.72
#ID33,5.56,,,1.45
#ID33,5.57,,,1.13
#ID33,5.58,,,0.82
#ID33,5.59,,,0.54
#ID33,5.6,5.516666667,0.017,0.33
#ID33,5.61,,,0.2
#ID33,5.62,,,0.15
#ID33,5.63,,,0.17
#ID33,5.64,,,0.23
#ID33,5.65,,,0.3
#ID33,5.66,,,0.36
#ID33,5.67,,,0.37
#ID33,5.68,,,0.34
#ID33,5.69,,,0.27
#ID33,5.7,5.527777778,0.027,0.15
#ID33,5.71,,,0.01
#ID33,5.72,,,-0.13
#ID33,5.73,,,-0.23
#ID33,5.74,,,-0.25
#ID33,5.75,,,-0.17
#ID33,5.76,,,0.05
#ID33,5.77,,,0.38
#ID33,5.78,,,0.81
#ID33,5.79,,,1.25
#ID33,5.8,5.533333333,0.041,1.66
#ID33,5.81,,,1.96
#ID33,5.82,,,2.16
#ID33,5.83,,,2.25
#ID33,5.84,,,2.28
#ID33,5.85,,,2.26
#ID33,5.86,,,2.2
#ID33,5.87,,,2.11
#ID33,5.88,,,1.98
#ID33,5.89,,,1.79
#ID33,5.9,5.541666667,0.053,1.56
#ID33,5.91,,,1.29
#ID33,5.92,,,1
#ID33,5.93,,,0.73
#ID33,5.94,,,0.52
#ID33,5.95,,,0.37
#ID33,5.96,,,0.31
#ID33,5.97,,,0.33
#ID33,5.98,,,0.4
#ID33,5.99,,,0.48
#ID33,6,5.547222222,0.062,0.54
#ID33,6.01,,,0.55
#ID33,6.02,,,0.47
